[INFO] 20:29:43:847 LOG valores de registros/(19156:19156): PID: 1, PC: 6, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 1, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:43:953 LOG valores de registros/(19156:19156): PID: 1, PC: 7, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 1, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:44:275 LOG valores de registros/(19156:19156): PID: 1, PC: 8, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 1, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:44:377 LOG valores de registros/(19156:19156): PID: 1, PC: 9, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 2, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:44:484 LOG valores de registros/(19156:19156): PID: 1, PC: 10, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 2, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:44:799 LOG valores de registros/(19156:19156): PID: 1, PC: 11, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 2, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:44:905 LOG valores de registros/(19156:19156): PID: 1, PC: 12, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 3, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:45:013 LOG valores de registros/(19156:19156): PID: 1, PC: 13, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 3, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:45:318 LOG valores de registros/(19156:19156): PID: 1, PC: 14, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 3, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:45:521 LOG valores de registros/(19156:19156): PID: 1, PC: 15, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 3, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:45:625 LOG valores de registros/(19156:19156): PID: 1, PC: 0, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 3, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
